Dte.;Barris;TOTAL ;Espanya;Alemanya;Àustria;Bèlgica;Bulgària;Croàcia;Dinamarca;Eslovàquia;Eslovènia;Estònia;Finlàndia;França;Grècia;Hongria;Irlanda;Itàlia;Letònia;Lituània;Luxemburg;Malta;"Països 
Baixos";Polònia;Portugal;"Regne 
Unit";Romania;Suècia;Txèquia;Xipre;Albània;Andorra;Armènia;Belarús;"Bòsnia i 
Hercegovina";;Geòrgia;Islàndia;Liechtenstein;Macedònia;Moldàvia;Mònaco;Montenegro;Noruega;Rússia;Sèrbia;Suïssa;Ucraïna;"Altres
països";Algèria;Angola;Benín;;"Burkina
Faso";Burundi;Camerun;"Cap
Verd";;;Congo;;"Costa 
d'Ivori";Egipte;Eritrea;Etiòpia;Gabon;Gàmbia;Ghana;Guinea;"Guinea -
Bissau";"Guinea
Equatorial";Kenya;Lesotho;Libèria;Líbia;Madagascar;Malawi;Mali;Marroc;Maurici;Mauritània;Moçambic;Namíbia;Níger;Nigèria;"República 
Centreafricana";"República 
Democràtica 
del Congo";Ruanda;"São Tomé 
i Príncipe";Senegal;Seychelles;"Sierra 
Leone";Somàlia;Sud-àfrica;Sudan, el;Tanzània;Togo;Tunísia;Txad;Uganda;Zàmbia;Zimbàbue;"Altres 
països ";Canadà;"Estats 
Units, els";"Antigua i 
Barbuda";Bahames;Barbados;Belize;"Costa 
Rica";Cuba;Dominica;El Salvador;Grenada;Guatemala;Haití;Hondures;Jamaica;Mèxic;Nicaragua;Panamà;"República 
Dominicana";"Saint 
Lucia";"Saint Kitts
i Nevis";"Trinitat
i Tobago";Argentina;Bolívia;Brasil;Colòmbia;Equador;Guyana;Paraguai;Perú;Uruguai;Veneçuela;Xile;Afganistan;"Aràbia 
Saudí";Azerbaidjan;Bangladesh;Cambodja;Corea;"Emirats
Àrabs
Units";Filipines;Iemen;Índia;Indonèsia;Iran;Iraq;Israel;Japó;Jordània;Kazakhstan;Kirguizistan;Kuwait;Laos;Líban;Malàisia;Mongòlia;Myanmar;Nepal;Oman;Pakistan;Singapur;Síria;"Sri
Lanka";Tadjikistan;Tailàndia;Turkmenistan;Turquia;Uzbekistan;Vietnam;Xina;"Altres 
països ";Austràlia;"Nova 
Zelanda";Apàtrides;
3;11. el Poble Sec - Parc Montjuïc;40.278;28.199;233;25;46;65;12;9;18;7;3;27;485;49;31;49;1.035;4;15;0;0;66;99;131;296;253;70;23;1;7;2;26;5;1;;54;3;1;3;10;0;2;9;113;10;24;84;0;104;1;0;;0;0;3;1;;;1;;5;4;0;0;1;2;6;9;2;2;0;1;0;0;1;0;2;857;0;3;2;0;0;8;0;0;0;0;19;0;3;0;3;0;1;0;14;0;0;0;0;0;13;85;0;0;1;0;2;74;2;47;0;4;0;137;0;107;4;0;608;1;0;0;215;362;213;311;292;0;129;221;42;104;136;3;0;4;218;0;7;0;1.111;0;625;5;4;2;13;27;1;2;1;0;0;9;0;0;0;107;0;1.865;0;4;0;0;1;0;20;1;0;460;4;11;3;0;
3;12. la Marina del Prat Vermell - Zona Franca;1.144;1.027;0;0;0;4;0;0;0;0;0;1;2;0;0;0;4;0;0;0;0;1;0;1;1;2;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;3;0;0;1;0;1;0;0;;0;0;0;0;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;10;0;2;0;0;1;0;0;0;0;0;0;8;2;0;20;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;18;0;0;0;0;
3;13. la Marina de Port;30.047;26.011;34;5;2;97;3;0;2;0;0;0;48;1;17;7;157;3;2;1;0;12;46;33;26;163;5;5;0;3;0;16;10;0;;27;0;0;0;5;0;0;8;55;0;3;39;0;41;0;1;;1;0;4;0;;;0;;1;0;0;0;0;0;4;26;2;6;2;0;0;0;0;0;7;288;0;0;0;0;0;12;0;0;0;0;11;0;0;0;2;0;1;0;4;0;0;0;0;0;4;7;0;0;0;0;0;55;1;29;0;3;1;147;0;17;15;0;125;0;0;0;80;115;54;199;309;0;36;307;27;26;54;0;0;4;51;0;12;0;352;0;106;0;2;0;1;7;0;4;0;0;0;1;0;0;0;16;0;234;0;8;0;0;2;0;2;2;0;372;1;0;0;0;
3;14. la Font de la Guatlla;10.309;8.393;42;1;12;14;1;5;1;1;2;3;100;8;6;6;174;6;4;0;0;12;29;44;54;55;18;1;0;6;2;13;6;0;;37;1;0;0;3;0;0;4;58;3;6;30;0;13;0;0;;2;0;0;1;;;0;;0;1;0;0;0;1;3;0;1;0;1;0;1;0;0;0;5;77;0;0;0;0;0;4;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;1;14;0;0;0;0;1;19;0;4;0;1;0;12;0;35;3;0;38;0;0;0;57;62;77;102;64;0;22;67;21;29;31;0;0;0;5;0;4;0;14;0;63;0;4;0;0;5;1;0;0;0;0;4;0;0;0;8;0;104;0;3;0;0;3;0;4;0;0;147;0;0;0;0;
3;15. Hostafrancs;15.666;12.322;49;7;14;29;2;3;4;0;2;10;146;11;7;9;251;3;0;1;0;13;32;50;55;100;19;6;0;9;3;8;3;0;;32;0;0;1;9;0;2;2;60;3;5;28;0;12;0;0;;0;0;1;0;;;1;;2;8;0;1;0;5;0;3;0;2;0;0;0;0;0;0;2;164;0;0;0;0;0;12;0;0;0;0;3;0;0;0;0;0;2;0;1;0;0;0;0;0;1;28;0;0;0;0;5;34;0;12;0;1;0;48;0;51;1;1;62;0;0;0;62;178;89;132;187;0;62;175;14;36;48;0;0;0;6;0;10;0;105;0;157;1;2;3;3;9;4;4;0;0;0;2;0;0;0;25;0;333;0;1;0;0;0;0;3;0;0;233;2;5;2;0;
3;16. la Bordeta;18.398;15.939;37;1;9;30;5;3;3;2;0;1;83;2;5;3;155;1;3;0;0;11;30;22;21;68;8;0;2;11;2;4;2;4;;41;0;0;1;5;0;0;1;44;2;2;37;0;11;0;0;;0;0;6;0;;;1;;1;0;0;9;0;0;1;5;1;3;0;0;0;1;0;0;1;167;0;1;0;0;0;2;0;0;0;0;5;0;0;0;0;0;0;0;3;0;0;0;0;0;3;12;0;0;0;0;4;30;0;10;0;4;0;64;0;21;4;2;99;0;0;0;62;160;55;103;175;0;53;134;20;30;22;1;4;0;0;0;1;0;26;0;152;0;3;0;2;4;6;0;0;0;0;2;0;0;0;0;0;104;0;3;0;0;0;0;0;0;0;202;2;1;0;0;
3;17. Sants - Badal;24.128;19.958;41;3;15;8;0;0;1;1;3;4;96;7;3;7;180;4;3;0;0;24;48;34;46;221;10;3;0;5;8;15;10;0;;69;2;0;0;4;0;0;4;65;2;3;52;0;32;0;0;;0;0;17;2;;;0;;0;2;0;1;0;2;1;8;1;8;0;0;1;1;0;0;4;171;0;1;1;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;2;11;0;0;0;0;2;40;1;32;0;7;1;68;0;41;10;1;257;0;0;0;89;379;71;215;313;0;132;253;27;53;59;0;0;1;19;0;8;0;68;0;83;0;18;3;1;12;2;0;0;0;0;0;0;0;0;10;0;286;0;7;0;0;1;0;8;0;2;309;2;0;0;0;
3;18. Sants;40.854;33.783;145;10;17;44;0;7;9;3;3;8;290;20;11;15;547;14;8;0;0;32;55;83;129;227;45;12;0;14;11;18;7;0;;66;1;0;0;10;0;0;4;114;18;17;94;0;55;1;0;;6;0;14;0;;;1;;3;2;0;4;0;3;23;14;2;5;3;0;0;0;1;0;3;377;1;1;0;0;0;10;0;0;0;0;21;0;0;0;2;0;0;0;3;0;1;0;0;0;7;44;0;0;0;0;6;70;0;19;0;14;1;97;1;85;12;8;217;0;0;0;173;573;135;295;385;0;153;388;53;114;88;2;0;0;51;0;12;0;69;0;228;1;9;0;8;36;0;2;1;0;1;2;1;2;0;51;0;458;0;6;0;0;2;0;16;2;0;501;1;5;2;0;
4;19. les Corts;45.984;40.990;160;9;35;48;3;9;10;1;10;11;274;14;6;14;476;12;8;0;3;35;49;119;115;160;36;18;2;4;22;11;7;3;;24;4;0;4;30;0;2;8;119;9;20;54;0;35;0;0;;0;0;6;0;;;2;;1;1;0;1;0;3;12;19;1;3;0;0;0;2;0;0;4;101;0;2;1;0;0;10;0;0;0;0;14;0;0;0;4;0;1;1;2;0;0;1;0;0;12;79;0;0;0;0;8;45;1;11;0;12;0;75;2;106;11;6;114;0;0;0;110;179;160;216;152;0;59;188;30;108;87;0;0;4;25;0;47;0;34;0;53;7;22;1;9;169;2;8;0;0;0;8;0;1;0;15;0;179;1;6;1;0;9;0;14;0;5;409;3;4;1;1;
4;20. la Maternitat i Sant Ramon;23.564;21.032;63;5;6;19;0;7;2;1;0;1;95;14;13;6;215;1;7;0;0;20;26;26;45;51;14;4;0;1;8;5;1;1;;12;0;0;0;13;0;0;3;53;8;4;38;0;21;2;0;;0;0;9;0;;;0;;0;3;0;0;0;1;0;13;0;1;0;0;0;0;1;0;0;64;0;0;0;0;0;2;0;0;0;0;3;0;0;0;4;0;0;2;9;0;0;0;0;0;4;32;0;0;0;0;6;32;0;11;0;3;0;31;0;75;8;9;103;0;0;0;70;131;92;169;97;0;75;155;23;84;42;0;0;0;0;0;18;0;16;0;35;4;43;0;3;42;0;5;0;0;0;4;1;0;0;9;0;35;3;0;1;0;3;0;11;1;0;118;2;3;0;0;
