CODI_CAPA;NOM_CAPA_CAT;NOM_CAPA_CAST;NOM_CAPA_ANG;COORD_X;COORD_Y;EQUIPAMENT;TELEFON;ADRECA
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424583,4;4587021,455;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424590,703;4585744,465;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424591,429;4585657,101;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424591,84;4585749,488;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424594,315;4586076,494;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424594,764;4586063,247;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424597,55;4585747,644;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424598,374;4586444,218;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424601,39;4587275,454;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424602,311;4586846,756;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424602,323;4586857,526;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424607,503;4586440,905;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424617,266;4587283,921;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424620,559;4585893,421;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424622,31;4585894,923;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424624,323;4585976,696;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424625,32;4585908,845;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424627,075;4585910,753;BUS -118-128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424652,878;4586572,631;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424670,502;4586581,95;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424707,755;4585807,268;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424707,756;4585807,263;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424798,312;4586957,078;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424810,315;4586957,397;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424864,255;4586603,919;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424874,324;4586634,848;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424954,323;4587016,857;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424965,06;4586883,111;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424969,325;4587028,36;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424972,575;4586892,184;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424986,309;4585620,513;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425011,302;4584745,177;BUS -111--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425011,402;4584757,505;BUS -111--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425100,319;4585444,455;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425112,313;4585421,014;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425118,484;4584979,991;BUS -111--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;425139,548;4585008,191;BUS -111--;;
