entityid,dte,barris,mitjana
71edc9c4-e29e-4f17-a28c-7dfaedd732e1,3,13. la Marina de Port,2130
74bfd183-af3d-44e7-83db-9da577198918,10,73. la Verneda i la Pau,
75ca909c-ba48-4fd9-a4b2-ba061db856f8,7,33. el Baix Guinardó,2541
75d02586-0cff-45a0-bff4-1b77b13a917b,10,68. el Poblenou,2942
79cde460-0be7-474b-8b1d-e44ac486fd02,5,24. les Tres Torres,4488
7b33f7b8-fcf1-4f90-aa82-9e6b418e3356,6,32. el Camp d en Grassot i Gràcia Nova,2846
7bd13a35-491f-444e-86f1-04a0a3da3a3a,10,66. el Parc i la Llacuna del Poblenou,2630
7d7b0f07-64bb-4591-adf7-5f6039a03139,7,35. el Guinardó,2416
7d878e73-55db-4f86-af83-6e935081db39,1,4. Sant Pere  Santa Caterina i la Ribera,3202
7fa43cd7-ede8-493b-93da-88a509590fc2,7,34. Can Baró,2435
817f83e7-beaf-4ebe-b360-3229fe95dceb,8,44. Vilapicina i la Torre Llobeta,2200
859cdcb6-af37-4b02-a43b-086afa841207,,,
85e85ba6-aeff-405a-859f-7c8b0e968f77,10,71. Provençals del Poblenou,2603
86dcf2b4-9799-4b1e-87dd-4c32a0b71d2a,8,46. el Turó de la Peira (2),2014
8b6a10b1-16ea-4ab1-89cb-1a28924fc5ab,,,
8bbca924-4130-4015-9d27-ee3e7749a66f,8,52. la Prosperitat,1973
8cce8e29-46d2-40a2-8e52-4e4f85575b8d,10,72. Sant Martí de Provençals,
8df0508e-be9f-44b0-b6e6-40c3ef54c8a8,,,
8ec48d30-a7bb-421c-a5bc-04d55b3b5f16,5,24. les Tres Torres,4488
91970557-a929-4796-a1e6-7dc8fbf3b66f,4,21. Pedralbes,4946
93aad4f4-aaf7-4d62-be3d-bfc26cd2ee38,2,7. la Dreta de l Eixample,
93bae624-8bb5-4355-b645-b7cd9a09a767,,,
947415f0-8df4-4408-98db-5ad665937ba9,5,25. Sant Gervasi-la Bonanova,3809
974348c8-e2f6-4ad4-aa9f-92fea4057566,6,29. el Coll,2374
9755d216-3ee9-45e2-8a61-2d8bd9124bf1,5,27. el Putxet i el Farró,3237
