El parc de la Ciutadella,41.38584,2.1860828
El Park Guell,41.41348,2.1531093
El Castell de Montjuic,41.364433,2.167106
El Museu Nacional d'Art de Catalunya,41.368855,2.1533628
El Museu Egipci,41.393627,2.164736
Santa Maria del Mar,41.38375,2.1822069
El Mirador de Colom,41.37578,2.1777782
La Sagrada Familia,41.403942,2.17497
La Fundacio Joan Miro,41.36826,2.160131
La Torre Agbar,41.403446,2.1897974
El Palau Guell,41.379055,2.1744215
La Fundacio Antoni Tapies,41.39152,2.1637573
La Casa de les Punxes,41.39796,2.1642308
El CaixaForum,41.371296,2.149575
El Poble Espanyol,41.369118,2.1467245
El Teatre Grec,41.36809,2.1584644
El Born Centre Cultural,41.385643,2.1835678
L'Observatori Fabra,41.41874,2.123627
Fira Gran Via,41.354843,2.1280856
El Museu Olimpic i de lEsport,41.366177,2.157025
El CosmoCaixa,41.41327,2.1306581
El Museu de Cera   ,41.377098,2.1774426
El Centre Arts Santa Monica ,41.377228,2.175597
El Teatre Lliure,41.370647,2.157431
El Mercat de les Flors,41.370506,2.1572535
La Font Magica,41.371197,2.1517797
La Casa de la Caritat (CCCB),41.383884,2.1667948
Fira de Montjuic,41.37269,2.1501927
El Gran Teatre del Liceu,41.380116,2.1733286
LAuditori,41.398743,2.1851413
LEstadi Olimpic Lluis Companys,41.36471,2.155663
El Palau de la Musica Catalana,41.387333,2.1751573
El Palau Sant Jordi,41.36197,2.1523776
El parc del Forum,41.411034,2.2216976
El Teatre Nacional de Catalunya,41.399685,2.1860876
El Zoo de Barcelona,41.386124,2.187169
El MACBA,41.38319,2.1669517
La Catedral,41.384266,2.176157
El Palau Robert,41.396103,2.159514
Les Arenes,41.376007,2.149957
La Universitat Internacional de Catalunya ,41.406002,2.1232135
El Port Vell,41.37789,2.178216
La Casa Lleo Morera,41.39128,2.1654737
Els Encants de Barcelona,41.40128,2.1867266
L'Institut del Teatre,41.370647,2.157431
Can Felipa,41.404015,2.2013872
El parc de la Pegaso,41.426857,2.1907218
El Mercat de Galvany,41.396652,2.1436608
La placa de les Glories Catalanes,41.40256,2.1873143
El funicular de Montjuic,41.374763,2.170308
El funicular de Vallvidrera,41.41398,2.1056714
La Pedrera,41.395317,2.162043
La Casa Batllo,41.391705,2.164946
La platja de Llevant,41.404537,2.21768
La platja de la Nova Mar Bella,41.401867,2.2153227
La Escocesa,41.411243,2.2038267
La Base Nautica de la Mar Bella,41.396503,2.2097538
El parc Central de Nou Barris,41.436813,2.1712122
El Pavello de la Republica,41.430817,2.1514645
El parc del Laberint dHorta,41.437927,2.1475434
La Biblioteca Jaume Fuster,41.40746,2.1497571
El Recinte Modernista de Sant Pau,41.412384,2.1757424
Sant Pau del Camp,41.37647,2.1692963
La placa de la Sedeta,41.405544,2.1676698
La placa del Rei,41.38396,2.1772943
La Casa Amatller,41.391582,2.1650949
El parc de Joan Miro,41.378807,2.1473162
La Universitat de Barcelona,41.386547,2.1640124
La Casa Calvet,41.390938,2.1729965
La porta de la Finca Miralles,41.392082,2.12748
Els jardins de Mossen Costa i Llobera,41.369583,2.172306
El Pavello Mies van der Rohe,41.37081,2.1497576
La Torre Calatrava,41.364754,2.151638
El Jardi Botanic,41.362804,2.1569693
El teleferic de Montjuic,41.36882,2.163033
Lestacio de Sants,41.37908,2.1402352
El parc del Guinardo,41.41946,2.1695962
Els jardins de Laribal,41.36809,2.1584644
La Finca Sansalvador,41.418915,2.148341
El Mercat de les Corts,41.38405,2.1297863
El pont de Calatrava,41.41617,2.192415
La platja del Bogatell,41.39457,2.2067368
La platja de la Nova Icaria,41.39073,2.2028663
El Museu de Ciencies Naturals - Museu Blau,41.41078,2.220482
El parc de Diagonal Mar,41.407486,2.2138577
El Mercat de la Boqueria,41.38202,2.1722527
LArc de Triomf,41.39105,2.180686
La Ciutat Sanitaria Vall dHebron,41.42802,2.1434321
El Mercat de lAbaceria Central,41.40221,2.1593606
Lantic Hospital de la Santa Creu,41.381058,2.1697934
La platja de Sant Sebastia,41.372936,2.1893675
La platja de la Barceloneta,41.37858,2.192369
Las Golondrinas,41.37462,2.1780972
L'Hospital Clinic,41.389523,2.1521761
L'Estacio del Nord i el parc de lEstacio del Nord,41.394295,2.1823204
El Mercat de la Concepcio,41.39556,2.1689484
El Mercat de la Llibertat,41.399708,2.1537304
El Museu de Carruatges,41.433838,2.149785
El parc del Turo de la Peira,41.43284,2.16575
El Mercat de Santa Caterina,41.386364,2.1781592
Les Llars Mundet,41.435726,2.1471403
El Mercat dHorta,41.429596,2.1595912
L'Estatua de La Republica,41.438194,2.1740372
El Mercat de Sarria,41.399807,2.1207047
Santa Maria de Vallvidrera,41.413334,2.1053233
La Facultat de Psicologia, Ciencies de lEducacio i de lEsport Blanquerna (URL),41.411884,2.1333098
El Refugi 307,41.371048,2.1662018
El Vapor Vell,41.376896,2.1347332
El Mercat de Sants,41.37471,2.1337361
El Castell dels Tres Dragons,41.38808,2.1833673
El Moll de la Fusta,41.377647,2.1802092
LInstitut Quimic de Sarria (URL),41.403767,2.1194422
Sant Pere de les Puelles,41.3892,2.179225
El Mercat de la Barceloneta,41.3804,2.1891057
El parc del Castell de lOreneta,41.399372,2.1121812
LEscola Llotja ,41.4277,2.192447
El Collegi de les Teresianes,41.39994,2.1335597
LEscola Universitaria dEnginyeria Tecnica Industrial,41.387928,2.1482306
El Teatre Coliseum,41.388165,2.1661613
El parc de Can Drago,41.43656,2.1831396
El Castell de Torre Baro,41.45076,2.1761131
La zona de banys del Forum,41.408195,2.2261899
