,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
2219194,0.0,41.389074,2.158574,3.0,33.0,Apartment,5.0,Private room,l'Antiga Esquerra de l'Eixample,97.53,34.5,8.21629213483,142.3125
2220119,1.0,41.384059,2.149376,3.0,96.0,Apartment,5.0,Entire home/apt,la Nova Esquerra de l'Eixample,96.44,50.0,4.91803278689,600.0
2221191,1.0,41.385601,2.178182,2.0,22.0,Apartment,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",71.51,78.5,3.34572490706,143.916666667
2226342,0.0,41.393889,2.154397,3.0,120.0,Apartment,4.5,Entire home/apt,l'Antiga Esquerra de l'Eixample,96.99,25.5,10.5082417582,382.5
2232591,1.0,41.379629,2.17159,4.0,100.0,Apartment,4.5,Entire home/apt,el Raval,96.99,32.5,7.69961977186,541.666666667
2234840,0.0,41.409764,2.176604,3.0,81.0,Apartment,4.5,Entire home/apt,la Sagrada Famlia,73.42,12.5,0.418994413408,126.5625
2235507,0.0,41.382314,2.16123,7.0,150.0,Apartment,4.0,Entire home/apt,Sant Antoni,73.15,2.5,12.7840909091,109.375
2237750,1.0,41.410857,2.166643,2.0,50.0,Apartment,4.5,Entire home/apt,el Baix Guinard,98.08,28.0,2.72727272727,116.666666667
2248234,0.0,41.389963,2.168719,2.0,40.0,Bed & Breakfast,4.5,Private room,la Dreta de l'Eixample,84.11,55.5,12.9518072289,185.0
2252210,1.0,41.381543,2.18294,2.0,53.0,Apartment,5.0,Private room,"Sant Pere, Santa Caterina i la Ribera",99.73,36.5,5.19390581717,161.208333333
2252412,1.0,41.397394,2.161129,3.0,95.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,93.15,34.5,8.83757961783,409.6875
2252574,2.0,41.385005,2.180613,2.0,30.0,Bed & Breakfast,5.0,Private room,"Sant Pere, Santa Caterina i la Ribera",48.49,72.5,0.412087912088,181.25
2256064,10.0,41.384366,2.172093,2.0,130.0,Apartment,4.5,Entire home/apt,el Barri Gtic,95.34,42.5,13.5608856089,460.416666667
2258125,1.0,41.402095,2.177742,3.0,59.0,Apartment,4.5,Entire home/apt,la Sagrada Famlia,95.62,30.0,8.96501457726,221.25
2263681,1.0,41.402083,2.139579,2.0,115.0,Apartment,5.0,Entire home/apt,Sant Gervasi - Galvany,94.79,28.0,9.5041322314,268.333333333
2265321,0.0,41.386205,2.162001,3.0,100.0,Apartment,4.5,Entire home/apt,l'Antiga Esquerra de l'Eixample,83.84,12.0,12.9310344828,150.0
2268067,0.0,41.397179,2.168188,2.0,119.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,82.47,19.5,11.0445205479,193.375
2275925,1.0,41.401354,2.199663,3.0,104.0,Apartment,5.0,Entire home/apt,el Poblenou,54.25,11.5,27.2142857143,149.5
2278689,1.0,41.399017,2.205878,2.0,91.0,Apartment,5.0,Entire home/apt,el Poblenou,78.08,31.5,16.726618705,238.875
2282469,2.0,41.373545,2.162643,2.0,50.0,Apartment,4.5,Entire home/apt,el Poble Sec,73.15,43.5,9.08450704225,181.25
2282925,1.0,41.39575,2.171478,2.0,33.0,Bed & Breakfast,5.0,Private room,la Dreta de l'Eixample,88.22,49.5,2.06043956044,136.125
2284413,0.0,41.380167,2.173403,2.0,96.0,Apartment,5.0,Entire home/apt,el Raval,14.79,30.5,29.9460431655,244.0
2288872,1.0,41.404991,2.17502,3.0,69.0,Apartment,5.0,Entire home/apt,la Sagrada Famlia,94.79,33.5,9.82905982906,288.9375
2292786,2.0,41.389763,2.157904,3.0,30.0,Apartment,5.0,Private room,l'Antiga Esquerra de l'Eixample,96.16,33.0,9.89010989011,123.75
2292917,0.0,41.391938,2.170264,3.0,208.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,98.63,16.0,1.66666666667,416.0
2293777,0.0,41.388919,2.1574,1.0,60.0,Apartment,4.5,Entire home/apt,l'Antiga Esquerra de l'Eixample,95.89,48.0,2.06043956044,120.0
2295880,1.0,41.390054,2.153308,3.0,89.0,Apartment,4.5,Entire home/apt,l'Antiga Esquerra de l'Eixample,92.6,18.0,2.88461538462,200.25
2306489,0.0,41.374516,2.161058,4.0,30.0,Apartment,4.5,Entire home/apt,el Poble Sec,73.15,34.5,2.1613832853,172.5
2307557,0.0,41.388771,2.169596,2.0,185.0,Apartment,5.0,Entire home/apt,la Dreta de l'Eixample,91.51,14.0,0.928792569659,215.833333333
2307905,1.0,41.373546,2.15609,2.0,49.0,Apartment,4.5,Entire home/apt,el Poble Sec,95.89,24.5,0.828729281768,100.041666667
2308139,0.0,41.389177,2.164405,2.0,112.0,Apartment,5.0,Entire home/apt,la Dreta de l'Eixample,90.68,25.5,11.9011976048,238.0
2308270,0.0,41.40527,2.210514,2.0,300.0,Apartment,4.0,Entire home/apt,Diagonal Mar i el Front Martim del Poblenou,90.68,12.5,15.2830188679,312.5
2308283,0.0,41.404224,2.210908,2.0,229.0,Apartment,4.0,Entire home/apt,Diagonal Mar i el Front Martim del Poblenou,89.59,16.5,21.7814371257,314.875
2308287,0.0,41.403354,2.209987,2.0,290.0,Apartment,4.5,Entire home/apt,Diagonal Mar i el Front Martim del Poblenou,90.68,14.0,35.3305785124,338.333333333
2308594,0.0,41.373515,2.167762,2.0,85.0,Apartment,4.0,Entire home/apt,el Poble Sec,88.22,28.5,3.02795031056,201.875
2308951,0.0,41.375766,2.153444,3.0,120.0,Apartment,4.5,Entire home/apt,Sant Antoni,96.71,16.5,32.8125,247.5
2319608,1.0,41.398302,2.179191,2.0,110.0,Apartment,4.5,Entire home/apt,el Fort Pienc,91.23,15.5,3.82436260623,142.083333333
2321282,0.0,41.398444,2.204989,3.0,128.0,Apartment,4.0,Entire home/apt,el Poblenou,98.9,8.0,10.9806629834,128.0
2322222,1.0,41.384792,2.172903,3.0,140.0,Apartment,4.5,Entire home/apt,el Barri Gtic,27.95,38.0,11.1344537815,665.0
232400,0.0,41.397567,2.153104,3.0,75.0,Apartment,5.0,Entire home/apt,Sant Gervasi - Galvany,62.19,34.15,3.73665480427,320.15625
2324304,0.0,41.399646,2.16083,3.0,94.0,Apartment,5.0,Entire home/apt,la Vila de Grcia,65.48,41.0,6.59340659341,481.75
