,availability,avg_estimated_bookings,avg_minstay,avg_occupancy_rate,avg_price,avg_reviews_listing,income_month,income_year,listings,most_common_neigh
38887559,97.3,0.5,1.0,3.4,25.0,1.0,1.0,12.5,1,Sant Gervasi - la Bonanova
9478280,70.5,2.5,3.0,7.5,161.8,5.0,1565.3,18783.8,14,"Sant Pere, Santa Caterina i la Ribera"
7200905,98.4,16.5,7.0,2.2,80.0,33.0,769.8,9237.2,1,la Maternitat i Sant Ramon
1114250,24.9,7.3,3.0,2.7,75.0,14.5,271.9,3262.5,2,el Barri Gtic
14034665,98.8,3.9,1.0,9.5,24.0,7.8,15.5,186.0,2,el Camp de l'Arpa del Clot
8896655,32.3,5.3,3.0,10.1,50.0,10.5,65.6,787.5,1,el Camp d'en Grassot i Grcia Nova
12390424,81.9,9.3,0.0,5.9,110.0,18.5,0.0,0.0,1,el Poblenou
32358546,15.3,8.0,1.0,3.4,30.0,16.0,20.0,240.0,1,Can Bar
15179923,93.2,23.3,1.0,8.5,149.0,46.5,288.7,3464.3,1,el Fort Pienc
40706196,24.9,3.5,1.0,0.5,21.0,7.0,6.1,73.5,1,Sants
18096277,89.7,10.8,0.0,11.9,68.8,21.5,0.0,0.0,4,la Sagrada Famlia
6500377,84.3,2.4,0.0,22.4,108.6,4.9,0.0,0.0,7,la Vila de Grcia
13475992,84.8,9.0,1.0,12.2,81.7,18.0,177.5,2130.0,3,"Sant Pere, Santa Caterina i la Ribera"
4972701,84.9,3.6,1.5,2.4,87.5,7.3,23.4,281.3,2,"Sant Pere, Santa Caterina i la Ribera"
40468587,73.9,1.3,1.7,2.0,32.3,2.7,26.7,320.0,3,Diagonal Mar i el Front Martim del Poblenou
11821215,98.9,4.0,3.0,4.9,70.0,8.0,70.0,840.0,1,el Bess i el Maresme
9650338,24.7,11.3,2.0,8.4,32.0,22.5,60.0,720.0,1,el Poble Sec
3006627,93.2,11.4,3.0,2.5,90.0,22.8,256.9,3083.4,1,la Vila de Grcia
35936647,91.0,3.6,0.0,10.8,91.0,7.3,0.0,0.0,4,l'Antiga Esquerra de l'Eixample
1704101,23.4,24.8,1.0,13.5,65.5,49.5,270.2,3242.3,2,la Sagrada Famlia
3612838,99.5,5.8,3.5,1.5,172.0,11.5,341.5,4098.5,2,Sant Gervasi - Galvany
13772145,57.5,40.8,1.0,1.2,125.0,81.5,424.5,5093.8,1,el Raval
3555498,89.0,16.0,3.0,21.9,69.0,32.0,275.9,3311.0,1,la Sagrada Famlia
10297515,6.0,0.5,0.0,10.1,294.0,1.0,0.0,0.0,1,el Barri Gtic
7677298,99.7,2.0,1.0,3.1,38.0,4.0,6.3,76.0,1,el Camp de l'Arpa del Clot
15556782,96.7,17.5,2.0,7.0,35.0,35.0,102.1,1225.0,1,la Nova Esquerra de l'Eixample
3743919,21.6,0.5,0.0,4.0,290.0,1.0,0.0,0.0,1,Sant Antoni
22995121,99.2,8.5,1.0,2.5,52.0,17.0,36.8,442.0,1,el Clot
1794226,59.5,17.5,3.0,3.3,65.0,35.0,284.4,3412.5,1,la Nova Esquerra de l'Eixample
11392371,9.0,18.0,1.0,1.4,20.0,36.0,30.0,360.0,1,el Raval
29991093,89.2,10.3,2.0,6.3,14.0,20.5,48.0,576.0,2,el Carmel
860343,99.7,1.5,2.0,8.4,60.0,3.0,15.0,180.0,1,el Parc i la Llacuna del Poblenou
25437842,21.9,9.0,1.0,1.2,10.0,18.0,7.5,90.0,1,Sant Andreu
17236154,58.6,10.0,1.0,5.0,40.0,20.0,33.3,400.0,1,el Fort Pienc
20390075,98.4,4.5,1.0,1.0,54.0,9.0,20.3,243.0,1,el Raval
21312777,97.3,1.5,2.0,25.0,75.0,3.0,18.8,225.0,1,l'Antiga Esquerra de l'Eixample
25379005,96.7,5.0,2.0,1.7,40.0,10.0,33.3,400.0,1,"Sant Pere, Santa Caterina i la Ribera"
1867966,76.2,2.0,2.0,1.6,18.0,4.0,6.0,72.0,1,la Salut
39796927,99.7,0.5,1.0,2.9,35.0,1.0,1.5,17.5,1,el Congrs i els Indians
2891968,77.0,11.3,4.0,2.2,25.0,22.5,93.8,1125.0,1,el Clot
2932931,16.4,8.5,5.0,1.2,75.0,17.0,265.6,3187.5,1,la Vila de Grcia
7004357,99.7,1.5,1.0,7.1,40.0,3.0,5.0,60.0,1,la Nova Esquerra de l'Eixample
3358918,74.5,9.0,0.0,16.0,79.0,18.0,0.0,0.0,1,la Nova Esquerra de l'Eixample
9421000,63.2,3.5,2.8,9.1,245.3,7.0,525.8,6309.0,4,la Dreta de l'Eixample
41161,99.3,11.8,1.0,14.4,33.0,23.6,66.0,791.5,2,"Sant Pere, Santa Caterina i la Ribera"
2785482,99.7,8.5,1.0,2.8,115.0,17.0,81.5,977.5,1,la Dreta de l'Eixample
16875725,40.7,19.8,2.5,24.9,34.5,39.5,271.1,3253.5,2,"Sant Pere, Santa Caterina i la Ribera"
3424464,3.7,39.1,1.0,0.8,21.3,78.2,209.0,2508.2,3,el Poble Sec
14350004,99.3,12.3,3.0,11.9,20.0,24.5,124.8,1497.0,2,la Vila de Grcia
27697364,49.0,0.5,1.0,2.6,40.0,1.0,1.7,20.0,1,el Putxet i el Farr
16703701,93.7,3.6,2.0,9.9,20.0,7.3,49.3,592.0,4,Ciutat Meridiana
47955992,20.6,3.0,1.0,15.5,16.0,6.0,4.0,48.0,1,el Poblenou
42885335,99.5,0.5,2.0,8.6,61.0,1.0,5.1,61.0,1,el Barri Gtic
48499407,80.3,1.0,4.0,17.6,80.0,2.0,26.7,320.0,1,el Poble Sec
16820050,8.8,15.8,3.0,6.7,95.0,31.5,374.1,4488.8,1,"Sant Pere, Santa Caterina i la Ribera"
7222650,83.2,13.6,2.0,4.3,84.3,27.2,576.5,6917.5,3,la Sagrada Famlia
7700702,24.9,0.5,3.0,0.4,24.0,1.0,3.0,36.0,1,el Putxet i el Farr
16031968,82.7,19.8,2.0,22.6,59.0,39.5,194.2,2330.5,1,el Coll
385249,73.4,1.9,3.0,7.7,94.9,3.9,304.8,3657.0,7,el Poble Sec
22855908,91.8,6.5,1.0,3.3,50.0,13.0,27.1,325.0,1,Sant Antoni
172261,99.2,8.3,3.0,13.4,50.0,16.6,103.7,1244.3,1,el Poblenou
8528103,95.3,6.3,2.0,4.5,168.0,12.5,175.0,2100.0,1,les Corts
