,availability,avg_estimated_bookings,avg_minstay,avg_occupancy_rate,avg_price,avg_reviews_listing,income_month,income_year,listings,most_common_neigh
6104462,80.3,9.5,2.0,4.4,96.0,19.0,152.0,1824.0,1,la Vila Olmpica del Poblenou
7742863,88.8,1.0,1.0,5.1,39.0,2.0,3.3,39.0,1,la Dreta de l'Eixample
10126736,97.3,10.8,2.0,32.7,160.0,21.5,286.7,3440.0,1,"Sant Pere, Santa Caterina i la Ribera"
45756962,89.0,1.5,2.0,9.5,65.0,3.0,16.3,195.0,1,el Raval
15713682,97.4,21.2,1.0,18.9,31.3,42.3,166.4,1997.0,3,Sant Antoni
5957011,99.7,4.5,1.0,3.1,37.0,9.0,13.9,166.5,1,Sant Gervasi - Galvany
11478423,84.1,27.8,2.0,4.9,40.0,55.5,185.0,2220.0,1,la Dreta de l'Eixample
2033049,41.9,19.7,2.0,3.3,70.0,39.3,461.9,5542.9,2,el Barri Gtic
7177774,97.5,1.5,3.0,6.0,75.0,3.0,28.1,337.5,1,Sant Gervasi - Galvany
37143752,72.1,5.8,2.0,2.9,100.0,11.5,191.7,2300.0,2,"Sant Pere, Santa Caterina i la Ribera"
17532317,87.4,16.5,2.0,10.5,100.0,33.0,550.0,6600.0,2,Sant Antoni
20014494,94.8,11.0,1.0,0.8,20.0,22.0,18.3,220.0,1,el Bess i el Maresme
5170597,84.8,9.1,0.0,5.4,191.8,18.3,0.0,0.0,5,l'Antiga Esquerra de l'Eixample
2041256,88.1,8.8,3.0,7.7,74.3,17.5,647.2,7766.9,4,Sant Antoni
39506137,88.5,0.9,0.0,4.9,106.9,1.8,0.0,0.0,22,el Putxet i el Farr
5539242,99.7,0.5,1.0,1.5,55.0,1.0,2.3,27.5,1,Sarri
33572211,86.3,11.0,0.0,7.4,149.0,22.0,0.0,0.0,1,la Sagrada Famlia
19420254,44.9,0.5,1.0,1.2,115.0,1.0,4.8,57.5,1,"Sant Pere, Santa Caterina i la Ribera"
3313906,62.7,9.8,4.0,6.4,210.0,19.5,682.5,8190.0,1,la Dreta de l'Eixample
32499119,74.0,6.5,1.0,0.4,29.0,13.0,15.7,188.5,1,la Barceloneta
47646128,92.0,0.5,2.0,12.4,59.0,1.0,4.9,59.0,1,el Parc i la Llacuna del Poblenou
4474289,79.7,3.3,2.0,0.4,80.0,6.5,43.3,520.0,1,Sant Antoni
27698611,42.5,9.0,3.0,13.0,145.0,18.0,326.3,3915.0,1,la Barceloneta
7906740,72.0,31.8,0.0,30.0,40.0,63.5,0.0,0.0,1,el Putxet i el Farr
9127354,69.9,11.3,2.0,25.2,18.0,22.5,33.8,405.0,1,les Corts
6645180,98.9,15.5,1.0,17.1,59.0,31.0,76.2,914.5,1,el Raval
9208053,45.2,0.5,1.0,3.7,75.0,1.0,3.1,37.5,1,el Poble Sec
40101313,28.8,0.5,2.0,8.8,45.0,1.0,3.8,45.0,1,el Carmel
12182979,89.0,18.3,2.0,3.7,139.0,36.5,422.8,5073.5,1,l'Antiga Esquerra de l'Eixample
12060104,93.7,7.5,2.0,36.3,90.0,15.0,112.5,1350.0,1,el Camp de l'Arpa del Clot
2319817,19.7,1.0,1.0,21.8,75.0,2.0,6.3,75.0,1,Sant Gervasi - Galvany
15844810,39.5,9.8,3.0,0.8,32.0,19.5,78.0,936.0,1,"Sant Pere, Santa Caterina i la Ribera"
1230283,87.1,20.1,1.5,10.7,67.5,40.3,300.8,3610.0,2,la Vila de Grcia
19023308,99.7,6.5,2.0,11.6,21.0,13.0,22.8,273.0,1,el Fort Pienc
5793357,88.5,4.5,2.0,35.6,66.0,9.0,49.5,594.0,1,Canyelles
1377744,84.7,13.4,0.0,2.4,79.0,26.8,0.0,0.0,2,el Camp de l'Arpa del Clot
1033682,98.8,11.7,1.0,2.3,40.0,23.3,80.8,969.9,2,la Sagrada Famlia
771543,96.2,6.5,3.0,13.2,24.0,13.0,39.0,468.0,1,Sant Antoni
5178840,49.6,18.8,3.0,17.5,30.0,37.7,141.2,1694.7,1,el Raval
12584410,99.2,12.5,4.0,26.7,1599.0,25.0,6662.5,79950.0,1,el Camp d'en Grassot i Grcia Nova
15123933,98.6,0.5,3.0,0.6,92.0,1.0,11.5,138.0,1,la Dreta de l'Eixample
13862374,56.7,6.5,2.0,7.3,49.0,13.0,53.1,637.0,1,el Raval
2123239,91.8,1.8,2.0,5.8,29.0,3.5,17.2,206.0,2,l'Antiga Esquerra de l'Eixample
41018859,89.6,2.5,3.0,8.2,80.0,5.0,50.0,600.0,1,"Sant Pere, Santa Caterina i la Ribera"
804332,99.5,0.5,14.0,16.1,110.0,1.0,64.2,770.0,1,el Barri Gtic
33138157,99.7,1.5,1.0,3.4,28.0,3.0,3.5,42.0,1,Hostafrancs
13534703,88.2,9.0,3.0,21.2,66.0,18.0,148.5,1782.0,1,el Poble Sec
1156593,94.3,23.9,2.0,12.3,31.0,47.8,363.9,4366.3,3,el Barri Gtic
3145982,99.7,6.3,2.0,22.1,90.0,12.5,93.8,1125.0,1,la Dreta de l'Eixample
6874615,71.5,1.5,15.0,7.0,24.0,3.0,45.0,540.0,1,Sant Antoni
31150204,99.7,5.0,2.0,1.8,31.0,10.0,25.8,310.0,1,Vilapicina i la Torre Llobeta
13502036,91.8,33.5,0.0,9.0,25.0,67.0,0.0,0.0,1,el Raval
17192935,99.5,3.3,15.0,11.8,53.5,6.5,426.3,5115.0,2,l'Antiga Esquerra de l'Eixample
16341930,34.5,1.2,2.7,7.8,31.0,2.3,23.3,279.0,3,el Raval
3433982,99.7,1.0,1.5,2.3,34.5,2.0,8.7,104.0,2,la Nova Esquerra de l'Eixample
37242453,24.4,1.0,6.0,16.1,25.0,2.0,12.5,150.0,1,la Sagrera
24778251,44.7,1.0,1.0,9.8,120.0,2.0,10.0,120.0,1,l'Antiga Esquerra de l'Eixample
6981124,99.3,1.3,2.5,25.5,1562.0,2.5,1584.9,19019.0,4,la Salut
2778630,70.9,8.0,2.3,6.3,32.0,15.9,164.8,1977.3,3,Porta
3982855,92.9,7.0,2.0,0.4,60.0,14.0,70.0,840.0,1,el Fort Pienc
25830919,84.7,13.5,4.0,38.2,90.0,27.0,405.0,4860.0,1,la Dreta de l'Eixample
46963628,13.4,0.5,1.0,5.7,9.0,1.0,0.4,4.5,1,la Font d'en Fargues
27485706,84.0,5.1,1.0,7.1,23.0,10.3,43.1,517.0,4,la Bordeta
10700375,22.7,2.5,2.0,2.9,62.0,5.0,25.8,310.0,1,"Sant Pere, Santa Caterina i la Ribera"
44248922,99.5,1.0,1.0,0.4,18.0,2.0,1.5,18.0,1,Torre Bar
11298319,51.5,6.5,1.0,32.9,85.0,13.0,46.0,552.5,1,les Corts
23324177,7.4,12.5,1.0,3.4,30.0,25.0,31.3,375.0,1,la Sagrada Famlia
35202578,3.0,10.0,1.0,18.5,100.0,20.0,83.3,1000.0,1,el Raval
17630744,41.4,3.5,1.0,5.5,36.5,7.0,20.4,245.0,2,l'Antiga Esquerra de l'Eixample
26729391,58.1,3.5,0.0,63.3,120.0,7.0,0.0,0.0,1,Provenals del Poblenou
5621279,80.1,16.6,2.5,9.9,31.0,33.3,204.7,2456.6,2,la Nova Esquerra de l'Eixample
25036322,24.9,15.0,1.0,3.3,20.0,30.0,25.0,300.0,1,el Poble Sec
11660209,83.8,1.0,2.0,4.7,35.0,2.0,5.8,70.0,1,el Camp d'en Grassot i Grcia Nova
33314396,24.7,2.0,1.0,4.2,24.0,4.0,4.0,48.0,1,la Vila de Grcia
14108204,32.6,2.5,4.0,3.0,120.0,5.0,100.0,1200.0,1,la Barceloneta
4171310,99.7,2.5,3.0,1.6,117.0,5.0,73.1,877.5,1,el Poblenou
3786292,73.2,11.4,1.0,0.8,49.0,22.8,46.6,559.3,1,el Raval
7783989,26.0,1.0,1.0,22.0,49.0,2.0,4.1,49.0,1,el Raval
24850697,32.3,1.0,1.0,11.3,40.0,2.0,3.3,40.0,1,el Camp de l'Arpa del Clot
7416756,90.0,26.9,1.0,14.9,35.0,53.8,157.0,1884.2,2,la Dreta de l'Eixample
865887,84.1,8.2,0.8,9.5,120.8,16.4,357.3,4287.0,5,Sant Antoni
4261436,70.7,4.5,0.0,6.6,45.0,9.0,0.0,0.0,1,el Carmel
10044989,52.4,10.8,3.9,11.9,40.9,21.6,845.7,10148.0,9,el Raval
23026171,99.7,6.0,4.0,1.4,80.0,12.0,160.0,1920.0,1,la Vila de Grcia
1263168,12.3,4.5,4.0,2.9,34.0,9.0,51.0,612.0,1,"Sant Pere, Santa Caterina i la Ribera"
4187713,99.5,5.0,3.0,24.2,85.0,10.0,106.3,1275.0,1,la Nova Esquerra de l'Eixample
3376710,95.7,1.3,3.0,5.0,103.7,2.7,96.4,1156.5,3,la Vila de Grcia
8304225,99.3,4.8,1.0,1.7,39.5,9.5,26.2,314.0,2,la Vila de Grcia
12961353,97.5,10.0,2.0,8.2,23.0,20.0,38.3,460.0,1,el Baix Guinard
1369675,84.7,4.5,2.0,13.4,128.3,9.0,288.8,3465.0,3,la Vila de Grcia
2475597,89.6,3.5,3.0,1.6,65.0,7.0,56.9,682.5,1,el Putxet i el Farr
31999566,99.7,10.0,3.0,0.8,60.0,20.0,150.0,1800.0,1,el Raval
15465424,88.2,18.0,3.0,32.6,100.0,36.0,450.0,5400.0,1,Sant Antoni
4662868,92.3,14.9,2.0,7.6,120.0,29.8,298.4,3580.8,1,Sant Antoni
17688149,94.5,12.8,3.0,21.1,91.5,25.5,721.4,8656.5,2,el Poble Sec
12617302,39.6,14.5,4.5,9.4,20.6,28.9,797.3,9567.5,8,la Dreta de l'Eixample
1771095,88.8,15.3,0.8,3.5,107.5,30.6,21.9,262.5,4,l'Antiga Esquerra de l'Eixample
5359193,75.1,7.8,3.0,6.8,65.0,15.7,127.2,1526.8,1,el Camp d'en Grassot i Grcia Nova
1893978,26.7,6.8,3.5,4.9,77.5,13.5,172.5,2070.0,2,el Raval
3901019,88.7,21.9,3.0,11.4,114.2,43.9,3690.3,44283.3,6,el Poble Sec
13895260,98.6,14.0,1.0,0.8,80.0,28.0,93.3,1120.0,1,la Vall d'Hebron
45721182,87.7,3.5,3.0,5.8,84.0,7.0,73.5,882.0,1,el Raval
38490213,99.7,4.5,1.0,1.8,94.0,9.0,35.3,423.0,1,el Barri Gtic
40486498,83.6,2.3,2.0,36.1,30.5,4.5,21.5,258.0,2,la Sagrada Famlia
9399227,93.4,2.0,3.0,0.8,129.0,4.0,64.5,774.0,1,el Barri Gtic
75365,98.9,4.4,7.0,42.0,90.0,8.8,229.7,2756.3,1,"Sant Pere, Santa Caterina i la Ribera"
898600,99.2,7.8,3.0,7.2,201.0,15.6,391.4,4697.4,1,la Dreta de l'Eixample
12945000,90.4,27.0,1.0,1.6,25.0,54.0,56.3,675.0,1,el Parc i la Llacuna del Poblenou
34661991,21.9,5.0,3.0,5.1,65.0,10.0,81.3,975.0,1,el Poble Sec
3081836,90.1,11.0,2.0,7.8,40.0,22.0,73.3,880.0,1,el Barri Gtic
5277295,48.8,19.1,2.0,7.0,100.0,38.2,318.1,3817.0,1,la Sagrada Famlia
1820272,90.9,21.8,2.0,12.2,61.4,43.6,1569.5,18834.4,7,el Fort Pienc
18370835,16.4,2.0,7.0,3.4,32.0,4.0,37.3,448.0,1,"Sant Pere, Santa Caterina i la Ribera"
29871038,98.6,1.0,2.0,1.9,45.0,2.0,7.5,90.0,1,la Font de la Guatlla
23365238,99.2,1.0,3.0,10.1,69.0,2.0,17.3,207.0,1,la Sagrada Famlia
14182007,99.7,14.5,2.0,32.8,46.0,29.0,111.2,1334.0,1,el Camp d'en Grassot i Grcia Nova
3466872,94.0,5.0,1.0,21.7,69.0,10.0,28.8,345.0,1,el Parc i la Llacuna del Poblenou
8193657,36.2,5.0,1.0,2.1,16.0,10.0,6.7,80.0,1,el Bon Pastor
43425668,99.7,1.5,1.0,5.2,40.0,3.0,5.0,60.0,1,la Barceloneta
3296191,99.7,9.8,2.0,13.7,69.0,19.7,113.1,1357.2,1,el Barri Gtic
8545916,88.5,3.5,1.0,8.1,35.0,7.0,10.2,122.5,1,la Vila de Grcia
730749,93.7,4.8,1.0,12.6,55.0,9.5,21.8,261.3,1,"Sant Pere, Santa Caterina i la Ribera"
40280213,56.7,5.8,1.0,24.6,30.0,11.5,28.8,345.0,2,Sant Antoni
4458114,93.2,7.4,3.0,0.4,110.0,14.8,203.9,2446.9,1,la Dreta de l'Eixample
29648516,94.5,7.0,1.0,2.1,60.0,14.0,35.0,420.0,1,l'Antiga Esquerra de l'Eixample
1779333,97.3,12.3,3.0,6.2,120.0,24.7,370.1,4440.6,1,el Poble Sec
16893574,53.4,0.5,6.0,1.2,29.0,1.0,7.3,87.0,1,el Guinard
13695732,50.4,5.8,3.0,3.5,117.0,11.5,168.2,2018.3,1,el Guinard
16918153,95.3,7.0,2.0,0.8,40.0,14.0,46.7,560.0,1,la Vila de Grcia
28083850,99.7,1.0,2.0,3.7,35.0,2.0,5.8,70.0,1,la Nova Esquerra de l'Eixample
17514775,94.0,9.0,3.0,21.6,2269.0,18.0,5105.3,61263.0,1,la Salut
1869452,67.1,6.5,2.0,13.2,70.0,13.0,75.8,910.0,1,Sant Antoni
7769026,38.8,1.0,7.5,14.2,105.0,2.0,149.6,1795.0,2,el Camp d'en Grassot i Grcia Nova
22029967,51.2,4.5,1.0,2.7,29.0,9.0,21.8,261.0,2,la Barceloneta
4466322,83.8,16.2,2.0,13.7,32.5,32.4,163.0,1955.4,2,Sant Antoni
2000535,81.9,7.5,1.0,0.8,35.0,15.0,21.9,262.5,1,la Vila de Grcia
1541784,98.4,27.5,1.0,0.4,52.0,55.1,119.3,1432.1,1,el Poble Sec
37299865,99.7,2.5,2.0,1.3,46.0,5.0,38.3,460.0,2,l'Antiga Esquerra de l'Eixample
1722011,99.7,6.3,3.0,12.7,45.0,12.5,140.6,1687.5,2,l'Antiga Esquerra de l'Eixample
2049693,97.3,6.5,3.0,20.5,150.0,13.0,243.8,2925.0,1,la Vila Olmpica del Poblenou
2991774,99.7,0.5,1.0,1.8,100.0,1.0,4.2,50.0,1,Sant Gervasi - la Bonanova
3704479,36.2,4.0,3.0,12.0,100.0,8.0,100.0,1200.0,1,Sant Gervasi - la Bonanova
3466864,86.8,7.0,3.0,13.2,200.0,14.0,350.0,4200.0,1,la Dreta de l'Eixample
16295589,84.9,5.0,2.0,4.0,45.0,10.0,37.5,450.0,1,la Vila Olmpica del Poblenou
33007271,99.5,9.0,2.0,0.8,40.0,18.0,60.0,720.0,1,Hostafrancs
7997096,98.6,15.5,0.0,5.9,45.0,31.0,0.0,0.0,1,el Poble Sec
2680490,99.7,24.6,1.0,5.6,50.0,49.2,102.5,1229.5,1,la Dreta de l'Eixample
27035307,99.5,13.5,2.0,4.5,30.0,27.0,67.5,810.0,1,el Fort Pienc
17909420,99.2,1.5,1.0,0.4,195.0,3.0,24.4,292.5,1,la Nova Esquerra de l'Eixample
3270318,94.8,8.5,0.0,0.8,33.0,17.0,0.0,0.0,1,la Nova Esquerra de l'Eixample
1361583,62.2,7.5,2.0,8.4,45.5,15.0,108.5,1302.0,2,Sant Antoni
14206640,83.6,22.8,3.0,8.1,1199.0,45.5,12344.9,148138.5,2,el Barri Gtic
2565810,38.8,18.8,0.0,4.9,100.5,37.6,0.0,0.0,2,el Poble Sec
20817587,90.7,13.3,1.0,4.0,81.0,26.5,89.4,1073.3,1,l'Antiga Esquerra de l'Eixample
15468215,91.8,7.0,2.0,2.1,29.0,14.0,33.8,406.0,1,la Sagrera
6055609,89.9,6.3,3.0,3.0,74.0,12.5,115.6,1387.5,1,la Dreta de l'Eixample
31852218,99.7,2.0,1.0,8.5,35.0,4.0,5.8,70.0,1,el Fort Pienc
47171261,80.5,0.5,1.0,31.6,150.0,1.0,6.3,75.0,1,la Vila Olmpica del Poblenou
24405697,34.0,1.5,1.0,6.4,40.0,3.0,5.0,60.0,1,la Nova Esquerra de l'Eixample
353987,90.7,12.7,1.0,0.4,57.0,25.5,60.5,725.9,1,el Raval
15820486,88.0,9.8,2.0,23.1,66.0,19.5,107.3,1287.0,1,Sant Gervasi - Galvany
3942088,99.7,11.0,1.0,1.9,50.0,22.0,45.8,550.0,1,el Barri Gtic
11175625,96.4,1.0,2.0,30.3,64.0,2.0,10.7,128.0,1,la Sagrada Famlia
13636183,92.3,14.0,2.0,11.4,39.0,28.0,91.0,1092.0,1,el Raval
2639565,95.8,10.4,3.0,10.2,54.0,20.8,232.3,2787.8,2,la Sagrada Famlia
14239438,14.3,1.0,2.0,6.4,47.0,2.0,7.8,94.0,1,el Putxet i el Farr
7276241,91.8,11.4,2.0,0.4,35.0,22.8,66.6,799.4,1,Sants
2123474,17.5,14.0,3.0,1.2,43.0,28.0,150.5,1806.0,1,el Congrs i els Indians
26068692,98.6,5.0,1.0,7.9,48.0,10.0,20.0,240.0,1,el Barri Gtic
48390436,15.9,1.0,1.0,14.9,75.0,2.0,6.3,75.0,1,el Poble Sec
9979611,93.3,5.8,3.0,13.1,100.3,11.7,438.0,5256.0,3,la Vila de Grcia
4441820,99.5,17.3,2.0,0.4,36.0,34.6,103.9,1247.4,1,el Raval
6981341,58.6,0.5,2.0,25.8,30.0,1.0,2.5,30.0,1,el Raval
14714591,98.9,9.0,2.0,11.4,58.0,18.0,87.0,1044.0,1,el Fort Pienc
10708705,89.3,3.5,2.0,0.8,100.0,7.0,58.3,700.0,1,"Sant Pere, Santa Caterina i la Ribera"
38021577,7.1,2.5,4.0,21.5,39.0,5.0,32.5,390.0,1,la Dreta de l'Eixample
26781307,67.4,14.0,0.0,6.1,90.0,28.0,0.0,0.0,1,la Vila de Grcia
25356004,96.7,6.5,0.0,11.6,35.0,13.0,0.0,0.0,1,la Sagrada Famlia
2598629,96.3,3.8,1.0,4.2,50.0,7.5,31.3,375.0,2,Sant Gervasi - Galvany
27178205,45.8,2.5,2.0,1.8,85.0,5.0,35.4,425.0,1,la Dreta de l'Eixample
16844520,20.4,8.8,3.0,22.2,31.5,17.5,126.1,1513.5,2,el Baix Guinard
493289,93.4,5.8,5.0,4.3,175.0,11.5,419.3,5031.3,1,"Sant Pere, Santa Caterina i la Ribera"
14132973,72.6,0.9,3.0,4.7,132.4,1.8,132.8,1593.0,5,Sant Antoni
7612142,87.1,18.3,2.0,3.8,94.0,36.5,286.0,3431.9,1,la Dreta de l'Eixample
10290927,98.4,4.3,2.0,8.7,40.0,8.5,58.8,705.0,2,Can Bar
15754992,98.4,8.5,2.0,8.3,50.0,17.0,70.8,850.0,1,la Sagrada Famlia
6992168,95.1,6.6,3.3,12.7,119.0,13.1,777.0,9324.0,4,la Dreta de l'Eixample
4212468,95.8,12.1,1.0,4.5,42.5,24.3,85.9,1031.3,2,el Raval
21077342,99.7,3.0,1.0,1.2,35.0,6.0,8.8,105.0,1,Sants - Badal
20547319,39.2,1.0,3.0,6.0,26.0,2.0,6.5,78.0,1,la Nova Esquerra de l'Eixample
10488788,99.2,1.0,1.0,9.2,30.0,2.0,2.5,30.0,1,el Parc i la Llacuna del Poblenou
17082106,25.2,12.3,5.0,4.9,68.0,24.5,347.1,4165.0,1,el Poblenou
4048635,95.1,11.6,3.0,10.3,132.0,23.2,382.3,4587.7,1,el Camp d'en Grassot i Grcia Nova
4720380,95.3,24.3,2.0,23.8,45.0,48.7,182.5,2190.2,1,el Guinard
19187454,54.5,12.5,2.0,9.1,75.0,25.0,156.3,1875.0,1,el Fort Pienc
35751679,89.9,2.5,1.0,9.8,117.5,5.0,35.4,425.0,2,Provenals del Poblenou
7030529,32.3,6.5,3.0,29.7,3939.0,13.0,6400.9,76810.5,1,la Vila de Grcia
24890646,99.5,3.0,2.0,16.1,54.5,6.0,56.8,681.0,2,l'Antiga Esquerra de l'Eixample
12355332,84.7,16.5,2.0,11.6,29.0,33.0,79.8,957.0,1,el Raval
5383946,34.3,1.5,1.0,0.9,65.0,3.0,8.1,97.5,1,la Dreta de l'Eixample
2541323,99.7,4.5,2.0,16.5,54.0,9.0,40.5,486.0,1,el Raval
7948046,8.0,12.8,2.0,14.9,75.0,25.5,159.4,1912.5,1,el Barri Gtic
21726991,87.7,19.5,2.0,18.5,20.0,39.0,65.0,780.0,1,la Guineueta
2000656,99.5,0.5,1.0,10.5,25.0,1.0,1.0,12.5,1,la Salut
5610456,99.7,4.0,2.0,0.4,99.0,8.0,66.0,792.0,1,la Dreta de l'Eixample
10344067,98.6,11.0,3.0,4.2,4837.0,22.0,13301.8,159621.0,1,Sant Gervasi - la Bonanova
34580,83.8,20.3,3.0,20.1,59.0,40.7,299.9,3599.3,1,el Barri Gtic
35794855,99.7,1.5,3.0,4.5,180.0,3.0,67.5,810.0,1,el Poblenou
20662039,98.1,13.3,2.0,0.4,55.0,26.5,121.5,1457.5,1,Canyelles
29632281,8.8,1.0,2.0,47.2,140.0,2.0,23.3,280.0,1,la Vila de Grcia
8111899,99.0,2.5,1.7,30.2,51.3,5.0,53.1,637.5,3,el Fort Pienc
206620,52.2,5.7,2.0,9.1,57.5,11.4,106.0,1271.5,2,el Barri Gtic
1156893,96.7,7.3,0.0,27.2,1200.0,14.5,0.0,0.0,1,Sant Gervasi - Galvany
7521925,62.7,2.5,6.0,13.3,40.0,5.0,50.0,600.0,1,el Putxet i el Farr
12322593,96.4,14.1,1.0,25.0,89.5,28.3,206.3,2475.0,2,l'Antiga Esquerra de l'Eixample
7513891,78.9,14.0,2.0,2.1,104.0,28.0,242.7,2912.0,1,el Baix Guinard
3548964,98.6,12.9,3.0,3.0,100.0,25.8,323.0,3876.0,1,la Vila de Grcia
19371654,99.7,13.0,1.0,4.1,31.0,26.0,33.6,403.0,1,les Tres Torres
1689383,0.0,4.0,2.0,8.2,93.0,8.0,62.0,744.0,1,el Camp de l'Arpa del Clot
42183695,98.1,0.5,1.0,7.6,15.0,1.0,0.6,7.5,1,el Bess i el Maresme
44197673,92.3,5.5,1.0,12.4,25.0,11.0,11.5,137.5,1,l'Antiga Esquerra de l'Eixample
24758058,92.3,8.5,1.0,15.7,29.0,17.0,20.5,246.5,1,el Raval
206635,91.3,5.0,3.0,1.3,128.7,10.0,471.1,5653.5,3,el Poble Sec
13724295,84.9,11.0,0.0,12.8,190.0,22.0,0.0,0.0,1,Sant Antoni
31319688,24.7,6.0,2.0,3.0,25.0,12.0,25.0,300.0,1,el Barri Gtic
28885299,6.8,0.5,1.0,0.8,90.0,1.0,3.8,45.0,1,Sant Antoni
3147574,97.8,15.6,2.0,18.6,60.0,31.2,155.8,1870.2,1,el Raval
2975544,99.5,2.8,3.0,6.6,59.0,5.5,40.6,486.8,1,l'Antiga Esquerra de l'Eixample
47059252,99.7,0.5,1.0,6.1,25.0,1.0,1.0,12.5,1,"Sant Pere, Santa Caterina i la Ribera"
6498106,24.4,1.0,1.0,5.1,30.0,2.0,2.5,30.0,1,el Raval
2934588,72.6,8.8,4.0,8.6,70.0,17.7,206.2,2473.8,1,la Vila de Grcia
9619261,83.2,5.9,1.0,3.5,33.0,11.8,32.3,387.8,2,el Fort Pienc
39642944,99.5,3.0,1.0,7.4,49.0,6.0,12.3,147.0,1,el Camp de l'Arpa del Clot
2975554,58.6,3.5,1.0,0.4,3522.0,7.0,1027.3,12327.0,1,Sants
30040374,22.3,3.0,2.3,2.2,19.0,6.0,29.6,355.5,3,la Vila de Grcia
36110466,21.6,11.0,3.0,8.6,130.0,22.0,357.5,4290.0,1,"Sant Pere, Santa Caterina i la Ribera"
9935841,99.5,3.3,1.0,2.6,150.0,6.5,40.6,487.5,1,les Corts
1435464,96.5,4.0,2.2,12.2,104.0,8.1,791.6,9499.3,10,el Fort Pienc
13301456,84.9,21.8,3.0,13.6,41.5,43.5,456.6,5478.8,2,el Barri Gtic
11268407,99.7,3.8,1.0,4.4,120.0,7.5,75.0,900.0,2,la Dreta de l'Eixample
9518808,97.5,11.0,2.0,17.8,75.0,22.0,137.5,1650.0,1,la Vila de Grcia
665423,98.9,16.6,2.0,22.9,29.0,33.2,80.2,961.9,1,la Maternitat i Sant Ramon
2320210,92.9,1.7,3.0,8.2,170.2,3.4,959.1,11509.6,12,el Camp d'en Grassot i Grcia Nova
30058325,99.7,2.0,2.0,3.9,35.0,4.0,11.7,140.0,1,l'Antiga Esquerra de l'Eixample
12928854,99.2,7.0,2.0,1.0,25.0,14.0,29.2,350.0,1,el Poble Sec
10037079,95.6,17.1,3.0,3.8,73.0,34.3,672.5,8070.0,2,el Parc i la Llacuna del Poblenou
829273,27.9,6.8,4.0,13.1,68.5,13.5,264.8,3177.0,2,"Sant Pere, Santa Caterina i la Ribera"
4802400,22.7,8.5,1.0,0.8,60.0,17.0,42.5,510.0,1,el Poblenou
1156961,7.4,2.3,4.0,8.9,20.0,4.5,15.0,180.0,1,el Putxet i el Farr
19679074,60.5,3.7,2.3,38.7,27.0,7.3,63.3,759.0,3,les Corts
9142587,97.3,1.0,3.0,1.3,131.0,2.0,32.8,393.0,1,la Vila de Grcia
8275815,23.3,3.5,2.0,5.6,30.0,7.0,17.5,210.0,1,el Poble Sec
4474728,62.9,7.7,2.6,16.3,36.7,15.5,419.5,5034.5,12,la Nova Esquerra de l'Eixample
10053481,62.5,13.0,3.0,9.5,5845.0,26.0,18996.3,227955.0,1,la Sagrada Famlia
41706507,19.7,1.1,1.0,5.0,25.0,2.3,9.6,115.0,4,l'Antiga Esquerra de l'Eixample
8742470,99.7,0.5,1.0,2.1,66.0,1.0,2.8,33.0,1,el Poble Sec
132973,84.9,18.5,2.0,17.7,60.0,36.9,370.9,4451.0,2,"Sant Pere, Santa Caterina i la Ribera"
22619210,38.1,0.5,2.0,0.4,80.0,1.0,6.7,80.0,1,la Barceloneta
10223933,98.6,5.5,2.0,26.3,30.0,11.0,27.5,330.0,1,el Poble Sec
28362608,99.5,6.0,1.0,6.8,35.0,12.0,17.5,210.0,1,el Raval
1288050,99.5,0.5,4.0,8.5,20.0,1.0,3.3,40.0,1,la Sagrada Famlia
5097332,91.8,0.5,2.0,17.4,71.0,1.0,5.9,71.0,1,el Barri Gtic
24455029,99.2,0.5,2.0,7.9,39.0,1.0,6.5,78.0,2,la Nova Esquerra de l'Eixample
40200054,99.7,1.3,1.0,10.7,34.5,2.5,7.8,93.0,2,la Sagrada Famlia
15419256,23.8,10.3,3.0,3.3,150.0,20.5,384.4,4612.5,1,la Sagrada Famlia
477049,41.1,6.5,0.0,19.1,36.0,13.0,0.0,0.0,1,el Raval
2426746,90.3,24.2,1.0,6.4,259.3,48.4,3039.5,36473.4,4,la Sagrada Famlia
2273599,90.7,15.4,4.0,17.1,80.0,30.8,411.1,4932.8,1,"Sant Pere, Santa Caterina i la Ribera"
33032061,46.0,1.0,3.0,2.1,100.0,2.0,25.0,300.0,1,Sant Gervasi - la Bonanova
19560085,90.7,0.8,1.0,5.4,39.0,1.7,7.8,93.5,3,el Fort Pienc
17670464,99.7,22.5,2.0,15.8,32.0,45.0,120.0,1440.0,1,el Camp de l'Arpa del Clot
47499138,33.3,1.3,2.0,7.8,37.0,2.5,15.4,185.0,2,el Raval
38848388,91.8,3.3,1.0,1.8,46.7,6.7,35.2,422.5,3,la Dreta de l'Eixample
7104389,95.6,19.0,4.0,21.0,72.5,38.0,917.1,11005.0,2,el Camp d'en Grassot i Grcia Nova
2738055,98.4,14.4,0.0,11.7,80.0,28.8,0.0,0.0,1,la Sagrada Famlia
9774984,99.7,1.5,2.0,3.6,39.0,3.0,9.8,117.0,1,Sant Gervasi - Galvany
20466668,98.5,22.3,0.0,7.6,42.5,44.5,0.0,0.0,2,l'Antiga Esquerra de l'Eixample
567180,97.2,5.7,3.0,8.2,106.1,11.4,1652.3,19828.1,11,la Sagrada Famlia
657293,95.9,10.0,1.0,0.4,50.0,20.0,41.7,500.0,1,el Raval
