,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
7335940,11.0,41.376494,2.153678,1.0,65.0,Apartment,4.5,Private room,Sant Antoni,86.03,12.0,4.14364640884,32.5
7337595,2.0,41.383754,2.155312,3.0,89.0,Apartment,4.5,Entire home/apt,la Nova Esquerra de l'Eixample,96.44,16.0,3.98230088496,178.0
7342881,3.0,41.42186,2.207539,4.0,11.0,Apartment,4.5,Private room,la Verneda i la Pau,16.44,13.0,16.6666666667,23.8333333333
7348707,2.0,41.401824,2.201527,2.0,70.0,Apartment,4.0,Entire home/apt,el Poblenou,97.26,7.0,2.06043956044,40.8333333333
7351325,3.0,41.379548,2.175114,2.0,29.0,Apartment,4.0,Entire home/apt,el Barri Gtic,81.92,32.0,1.26404494382,77.3333333333
7353781,2.0,41.393056,2.152458,2.0,50.0,Apartment,4.5,Private room,l'Antiga Esquerra de l'Eixample,99.45,3.0,1.72413793103,12.5
735587,5.0,41.440014,2.159428,2.0,33.0,House,4.5,Private room,Horta,87.4,18.5,2.07756232687,50.875
7359335,3.0,41.379051,2.175928,2.0,29.0,Apartment,5.0,Private room,el Barri Gtic,21.37,4.0,4.2735042735,9.66666666667
73700,3.0,41.373355,2.161652,2.0,65.0,Apartment,4.0,Entire home/apt,el Poble Sec,90.41,11.0,56.25,59.5833333333
738278,2.0,41.384041,2.179051,3.0,75.0,Apartment,5.0,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",69.86,44.17,0.426136363636,414.09375
7386851,2.0,41.377647,2.135099,3.0,25.0,Bed & Breakfast,5.0,Private room,Sants,9.32,16.0,0.412087912088,50.0
7397087,3.0,41.423339,2.176622,1.0,180.0,Apartment,4.0,Entire home/apt,el Guinard,75.34,3.0,14.9378698225,22.5
7413117,2.0,41.401394,2.140808,1.0,24.0,Apartment,4.0,Private room,Sant Gervasi - Galvany,99.73,5.0,3.53982300885,5.0
7414084,3.0,41.379705,2.126922,2.0,100.0,Apartment,3.0,Entire home/apt,la Maternitat i Sant Ramon,91.78,1.0,6.18698060942,8.33333333333
7431692,2.0,41.391868,2.149025,3.0,20.0,Apartment,4.5,Private room,l'Antiga Esquerra de l'Eixample,38.63,5.0,4.5,12.5
7431713,2.0,41.420284,2.150437,5.0,20.0,House,4.5,Private room,el Coll,38.63,2.0,0.412087912088,8.33333333333
7434043,3.0,41.39774,2.175328,1.0,30.0,Apartment,4.5,Private room,la Dreta de l'Eixample,91.78,3.0,1.42857142857,3.75
7448056,2.0,41.392865,2.201399,1.0,50.0,Apartment,5.0,Private room,la Vila Olmpica del Poblenou,99.73,9.0,56.4438202247,18.75
7450570,2.0,41.38064,2.174918,4.0,39.0,Apartment,4.5,Private room,el Barri Gtic,36.16,24.0,4.36046511628,156.0
7458707,2.0,41.411907,2.180537,1.0,15.0,Apartment,4.5,Private room,el Camp de l'Arpa del Clot,92.33,19.0,1.66051660517,11.875
7478039,10.0,41.39844,2.177836,1.0,25.0,Apartment,3.5,Private room,el Fort Pienc,38.08,4.0,3.65853658537,4.16666666667
7487055,2.0,41.377832,2.164801,5.0,80.0,Apartment,4.5,Entire home/apt,el Raval,38.9,2.0,6.63716814159,33.3333333333
7490638,3.0,41.38154,2.16612,3.0,40.0,Apartment,5.0,Private room,el Raval,21.1,10.0,3.30578512397,50.0
7492194,2.0,41.379047,2.148801,1.0,20.0,Apartment,4.5,Private room,la Nova Esquerra de l'Eixample,37.81,11.0,1.47058823529,9.16666666667
749604,2.0,41.386798,2.157182,2.0,50.0,Apartment,4.5,Entire home/apt,l'Antiga Esquerra de l'Eixample,90.14,33.83,14.2129120879,140.958333333
7517146,2.0,41.388735,2.178144,2.0,20.0,Apartment,5.0,Private room,"Sant Pere, Santa Caterina i la Ribera",35.89,11.0,6.36363636364,18.3333333333
751832,2.0,41.372799,2.166129,2.0,127.0,Apartment,4.5,Entire home/apt,el Poble Sec,91.78,2.0,3.84615384615,21.1666666667
