,24h_checkin,Air_conditioning,Bedroom_lock,Breakfast,Elevator,Essentials,Heating,Internet,Kitchen,Pets_allowed,Smoking_allowed,TV,Washer,accommodates,bathrooms,bedrooms,cancel_pol,host_id,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,superhost,neighbourhood,January,February,March,April,May,June,July,August,September,October,November,December,Total_days,Availability,Ja_rcounts,Fe_rcounts,Mar_rcounts,Ap_rcounts,May_rcounts,Jun_rcounts,Jul_rcounts,Au_rcounts,Se_rcounts,Oc_rcounts,No_rcounts,De_rcounts,Total_rcounts,Est_bookings,Occupancy_rate,Income_year,Income_month
1005751,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0,3.0,1.0,flexible,3342699,2.0,41.396166,2.161395,1.0,95.0,Apartment,4.0,Private room,0,la Dreta de l'Eixample,29,29,31,30,31,30,31,31,30,31,30,31,364.0,99.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.23626373626,47.5,3.95833333333
1005754,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,1.0,1.0,strict,2009370,0.0,41.388705,2.170912,3.0,130.0,Apartment,4.5,Entire home/apt,0,la Dreta de l'Eixample,11,29,31,30,31,30,31,31,13,27,30,31,325.0,89.04,0.0,0.0,0.0,0.0,0.0,1.67,1.0,1.0,1.0,0.0,0.0,0.0,4.67,2.335,20.9350180505,910.65,75.8875
1005819,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,flexible,5531632,1.0,41.408456,2.170017,1.0,50.0,Apartment,4.5,Private room,0,el Baix Guinard,29,29,31,30,31,30,31,31,30,31,30,31,364.0,99.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.5,6.04532967033,75.0,6.25
1006148,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,1.0,strict,3575903,1.0,41.39865,2.204298,5.0,50.0,Apartment,5.0,Private room,0,el Poblenou,29,29,31,30,31,30,31,31,30,31,30,31,364.0,99.73,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.26050420168,500.0,41.6666666667
1007939,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,1.0,2.0,flexible,5449946,1.0,41.403383,2.159423,2.0,73.0,Apartment,4.5,Entire home/apt,0,la Vila de Grcia,3,0,15,30,28,23,25,31,30,31,30,31,277.0,75.89,2.5,2.0,3.5,3.0,4.0,4.0,4.0,2.33,4.0,5.0,3.0,1.33,38.66,19.33,0.412087912088,2822.18,235.181666667
100836,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0,1.0,1.0,strict,529313,2.0,41.407552,2.158824,2.0,30.0,Apartment,4.5,Private room,0,la Vila de Grcia,29,29,31,30,31,30,31,31,30,31,30,31,364.0,99.73,0.0,0.0,1.5,1.0,3.0,2.0,1.67,1.5,2.0,1.0,1.0,0.0,14.67,7.335,7.45192307692,440.1,36.675
10084019,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,moderate,3452855,1.0,41.385408,2.178966,1.0,39.0,Apartment,5.0,Private room,0,"Sant Pere, Santa Caterina i la Ribera",28,29,31,30,1,0,0,0,0,0,0,0,119.0,32.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,13.5483870968,19.5,1.625
10100174,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,flexible,51668459,1.0,41.379307,2.159548,2.0,27.0,Apartment,4.5,Private room,0,Sant Antoni,29,29,31,30,31,30,31,31,30,31,30,31,364.0,99.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,3.16011235955,27.0,2.25
101021,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,2.0,2.0,strict,529756,2.0,41.380306,2.174472,3.0,230.0,Apartment,4.5,Entire home/apt,0,el Barri Gtic,18,9,21,30,25,30,26,31,30,31,30,31,312.0,85.48,0.0,1.0,1.0,2.0,1.67,1.33,1.5,1.5,2.0,1.5,1.0,1.0,15.5,7.75,13.5418994413,5347.5,445.625
1010589,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0,2.0,3.0,strict,5511646,0.0,41.373795,2.164559,3.0,80.0,Apartment,4.5,Entire home/apt,0,el Poble Sec,19,18,22,25,25,20,28,31,30,31,30,31,310.0,84.93,3.0,2.5,4.0,2.0,1.5,2.0,3.0,2.0,1.0,2.0,3.0,2.0,28.0,14.0,0.412087912088,3360.0,280.0
1010912,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0,2.0,4.0,strict,1310304,0.0,41.39175,2.186697,3.0,133.0,Apartment,4.5,Entire home/apt,0,el Parc i la Llacuna del Poblenou,29,25,31,30,27,30,31,31,30,31,30,31,356.0,97.53,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.5,1.0,0.0,7.5,3.75,1.26050420168,1496.25,124.6875
1011083,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,1.0,1.0,strict,5560246,1.0,41.370615,2.164175,2.0,79.0,Apartment,5.0,Entire home/apt,0,el Poble Sec,26,29,31,30,28,30,31,31,30,31,30,31,358.0,98.08,2.0,1.0,2.0,3.0,4.0,3.33,3.0,3.33,3.33,5.33,2.0,0.0,32.32,16.16,33.9696969697,2553.28,212.773333333
1011139,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,1.0,3.0,strict,542867,4.0,41.387328,2.181753,5.0,80.0,Apartment,4.5,Entire home/apt,0,"Sant Pere, Santa Caterina i la Ribera",6,0,0,0,0,0,0,0,0,0,0,0,6.0,1.64,1.0,1.0,3.5,1.0,2.0,2.33,3.0,1.67,3.33,2.67,1.5,2.0,25.0,12.5,0.847457627119,5000.0,416.666666667
10111416,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,1.0,moderate,19060475,2.0,41.410785,2.175515,2.0,25.0,Apartment,5.0,Private room,0,la Sagrada Famlia,29,29,31,30,31,30,31,31,30,31,30,31,364.0,99.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,29.0200729927,25.0,2.08333333333
1011376,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0,2.0,4.0,strict,1310304,0.0,41.391624,2.185162,3.0,110.0,Apartment,4.5,Entire home/apt,0,el Parc i la Llacuna del Poblenou,29,25,31,30,31,30,28,31,30,31,30,31,357.0,97.81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.5,1.04895104895,495.0,41.25
1011781,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,strict,748500,0.0,41.379079,2.168552,1.0,26.0,Dorm,4.0,Private room,0,el Raval,24,29,31,22,31,30,0,0,0,0,0,31,198.0,54.25,3.5,2.0,4.0,3.0,4.67,3.67,3.67,3.67,4.33,3.33,5.33,3.67,44.84,22.42,1.80722891566,582.92,48.5766666667
10120072,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,flexible,8251905,1.0,41.384822,2.179824,1.0,30.0,Apartment,4.5,Private room,0,"Sant Pere, Santa Caterina i la Ribera",26,29,31,30,24,30,31,31,30,31,30,31,354.0,96.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,16.5042134831,30.0,2.5
1013513,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0,2.0,1.0,strict,5515536,0.0,41.399139,2.184307,2.0,62.0,Bed & Breakfast,5.0,Private room,0,el Fort Pienc,12,19,27,20,21,23,28,31,30,2,30,31,274.0,75.07,3.0,5.0,2.67,3.67,4.67,4.67,6.0,5.33,5.67,4.33,4.0,4.0,53.01,26.505,9.99718309859,3286.62,273.885
10150554,1,1,0,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,flexible,9361141,1.0,41.379053,2.177819,3.0,85.0,Apartment,5.0,Entire home/apt,0,el Barri Gtic,11,22,31,22,31,26,0,0,0,0,0,0,143.0,39.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,6.02493074792,127.5,10.625
10152684,1,1,0,1,1,1,1,1,1,1,1,1,1,2.0,2.0,2.0,strict,2563227,0.0,41.377624,2.175361,3.0,235.0,Apartment,0.0,Entire home/apt,0,el Raval,29,22,31,1,0,0,0,0,0,0,0,0,83.0,22.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,32.4437086093,352.5,29.375
1015663,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,moderate,5583741,0.0,41.422444,2.189182,1.0,25.0,Apartment,4.5,Private room,0,la Sagrera,21,29,31,30,31,30,31,31,30,31,30,31,356.0,97.53,1.5,1.0,3.5,6.0,4.67,3.33,3.0,4.0,4.67,5.0,1.0,1.5,39.17,19.585,0.41782729805,489.625,40.8020833333
1015758,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0,1.0,1.0,strict,804868,0.0,41.399941,2.162491,1.0,39.0,House,4.5,Private room,0,la Vila de Grcia,20,29,31,30,31,30,31,31,30,31,30,31,355.0,97.26,0.0,1.0,1.0,2.0,2.67,3.33,3.33,1.0,3.33,4.0,1.0,1.0,23.66,11.83,4.98614958449,461.37,38.4475
1016104,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0,2.0,4.0,flexible,2201772,0.0,41.387207,2.150508,3.0,350.0,Apartment,4.5,Entire home/apt,0,la Nova Esquerra de l'Eixample,29,26,31,30,31,30,31,31,30,31,30,31,361.0,98.9,1.0,1.0,0.0,1.0,2.0,1.5,2.5,3.0,1.0,1.5,0.0,0.0,14.5,7.25,100.0,7612.5,634.375
1017317,1,1,0,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,strict,2860168,2.0,41.444737,2.185152,3.0,28.0,Loft,4.5,Entire home/apt,0,la Prosperitat,14,26,31,30,23,27,0,0,0,0,0,0,151.0,41.37,3.0,2.0,3.0,5.0,2.5,3.5,2.0,2.33,3.33,3.0,2.0,1.0,32.66,16.33,18.6536050157,1371.72,114.31
1018050,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,flexible,5603097,1.0,41.382934,2.156778,1.0,30.0,Apartment,5.0,Private room,0,la Nova Esquerra de l'Eixample,24,29,31,30,31,30,31,31,30,31,30,31,359.0,98.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,3.84615384615,15.0,1.25
1018053,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,strict,5603130,2.0,41.373844,2.168292,1.0,29.0,Apartment,5.0,Private room,1,el Poble Sec,26,29,31,30,31,30,31,31,30,31,30,31,361.0,98.9,1.0,2.0,2.0,0.0,1.5,2.0,2.5,1.0,0.0,0.0,0.0,0.0,12.0,6.0,7.17409470752,174.0,14.5
1018188,1,1,0,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,strict,4046234,1.0,41.381923,2.18274,2.0,48.0,Apartment,4.5,Entire home/apt,0,"Sant Pere, Santa Caterina i la Ribera",20,10,5,2,0,0,0,0,0,0,0,0,37.0,10.14,2.33,4.5,4.0,4.0,3.33,3.67,4.67,3.33,5.67,4.67,4.33,4.67,49.17,24.585,14.2552816901,2360.16,196.68
1018439,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,strict,3913616,0.0,41.38135,2.172006,1.0,25.0,Apartment,4.0,Private room,0,el Raval,5,12,31,28,29,30,31,31,30,31,30,31,319.0,87.4,4.5,5.0,3.5,3.0,3.67,3.67,3.0,3.0,3.33,2.67,2.33,2.0,39.67,19.835,3.00859598854,495.875,41.3229166667
